codigo_unidade_gestora,nome_unidade_gestora,nome_orgao
440206,DEPARTAMENTO DE EDUCACAO AMBIENT. E CIDADANIA,Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto
810009,SEC.NAC. DE PROM. E DEF.DOS DIR.DA PESS.IDOSA,Ministério dos Direitos Humanos e Cidadania - Unidades com vínculo direto
810007,SEC.NAC. DOS DIREITOS DA PESS.COM DEFICIENCIA,Ministério dos Direitos Humanos e Cidadania - Unidades com vínculo direto
840009,SECRET.ARTIC. PROM. DE DIREITOS INDIGENAS MPI,Ministério dos Povos Indígenas - Unidades com vínculo direto
153254,ADMINISTRACAO GERAL/UFMG,Universidade Federal de Minas Gerais
153128,DECANATO DO CENT DE FILOSOF. E C HUM. DA UFRJ,Universidade Federal do Rio de Janeiro
153019,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,Universidade Tecnológica Federal do Paraná
154003,UND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
403201,FUNDACAO NACIONAL DE ARTES,Fundação Nacional de Artes
443001,AGENCIA NACIONAL DE AGUAS E SANEAMENTO BASICO,Agência Nacional de Águas
183023,INSTITUTO NAC.DE METROLOG. QUALID. E TECNOLOG,"Instituto Nacional de Metrologia, Qualidade e Tecnologia"
400054,SECRETARIA EXECUTIVA/MTE,Ministério do Trabalho e Emprego - Unidades com vínculo direto
153295,COLEGIO TECNICO/UFMG,Universidade Federal de Minas Gerais
840008,SECRET.GESTAO AMB. E TERRITORIAL INDIGENA MPI,Ministério dos Povos Indígenas - Unidades com vínculo direto
153032,UNIVERSIDADE FEDERAL DE LAVRAS,Universidade Federal de Lavras
420014,SECRET. DE FOMENTO E INCENTIVO A CULTURA/MINC,Ministério da Cultura - Unidades com vínculo direto
153114,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Universidade Federal do Rio Grande do Sul
550018,SECRETARIA DE INCLUSAO SOCIOECONOMICA,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vín"
550008,SECRETARIA NAC. DE SEGUR. ALIMENTAR E NUTRIC.,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vín"
153165,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Universidade Federal Rural de Pernambuco
364102,CONSELHO NAC DE DESENV CIENT E TECNOLOGICO,Conselho Nacional de Desenvolvimento Científico e Tecnológico
153079,UNIVERSIDADE FEDERAL DO PARANA,Universidade Federal do Paraná
810010,SEC.NAC. DOS DIR. P/A CRIANCA E O ADOLESCENTE,Ministério dos Direitos Humanos e Cidadania - Unidades com vínculo direto
154049,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,Fundação Universidade Federal de São Carlos
